time,open,high,low,close,change,pred
1742280240000,82373.9,82377.12,82319.16,82319.16,-0.0006645308768916,1
1742280300000,82319.14,82326.08,82265.71,82269.8,-0.0005993745804437,1
1742280360000,82269.81,82305.31,82244.68,82305.31,0.0004315070133260601,2
